특성,영업이익(조원)
'19년 4분기,7.16
'19년 3분기,7.78
2019년 2분기,6.6
'19년 1분기,6.23
'18년 4분기,10.8
'18년 3분기,17.57
'18년 2분기,14.87
'18년 1분기,15.64
'17년 4분기,15.15
'17년 3분기,14.53
2017년 2분기,14.07
'17년 1분기,9.9
'16년 4분기,9.22
'16년 3분기,5.2
'16년 2분기,8.14
'16년 1분기,6.68
'15년 4분기,6.14
'15년 3분기,7.39
'15년 2분기,6.9
'15년 1분기,5.98
'14년 4분기,5.29
'14년 3분기,4.06
'14년 2분기,7.2
'14년 1분기,8.5
'13년 4분기,8.3
'13년 3분기,10.2
'13년 2분기,9.5
'13년 1분기,8.8
'12년 4분기,8.8
'12년 3분기,8.1
2012년 2분기,6.5
'12년 1분기,5.7
'11년 4분기,4.7
'11년 3분기,4.3
'11년 2분기,3.8
'11년 1분기,2.8
'10년 4분기,3.0
'10년 3분기,4.9
'10년 2분기,5.0
'10년 1분기,4.4
2009년 4분기,3.4
2009년 3분기,4.2
2009년 2분기,2.7
2009년 1분기,0.6
